category,industry,turns,ad_turns,ad_rate,ad_rate_low,ad_rate_high,advertisers,creatives,competition_score,evidence_strength
Corporate travel,Travel and leisure,155,74,0.4774193548387097,0.40028508869414914,0.5556458513114916,19,39,2.0718478409333776,established
Honeymoon packages,Travel and leisure,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,4,4,1.3919028850036994,directional
Intercity buses,Travel and leisure,29,13,0.4482758620689655,0.2841291114874579,0.6245233293193238,5,8,1.19099905784262,established
Luxury perfume gifts,Beauty and personal care,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,4,4,0.9942163464312139,directional
Citrus perfume,Beauty and personal care,11,4,0.36363636363636365,0.15166223614131383,0.6462032231083628,3,3,0.7739760316291207,directional
Fragrance layering,Beauty and personal care,8,3,0.375,0.13684175946152105,0.6942621454161981,3,3,0.7739760316291207,directional
Vacation rentals,Travel and leisure,141,26,0.18439716312056736,0.12905789113836175,0.25647775607901224,7,18,0.5902618968202926,established
Paint services,Home improvement,33,9,0.2727272727272727,0.15067272656322814,0.44217883254386814,2,4,0.5405405405405406,established
Fleet tracking,Logistics,8,2,0.25,0.07147768885802763,0.5907301208974108,2,2,0.5,directional
Coworking,Real estate services,12,4,0.3333333333333333,0.13811783989736134,0.609382412602386,1,1,0.4953007814753613,directional
Travel luggage,Travel and leisure,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,1,1,0.4322625001966789,exploratory
Property management,Real estate services,4,1,0.25,0.045586062644636216,0.6993639475573634,1,1,0.396240625180289,exploratory
Rose perfume,Beauty and personal care,18,3,0.16666666666666666,0.05836470400465757,0.39222499638359243,2,3,0.36363636363636365,directional
Bathroom fittings,Home improvement,5,1,0.2,0.03622316096978745,0.6244717358814613,1,1,0.3522138890491458,exploratory
Office leasing,Real estate services,5,1,0.2,0.03622316096978745,0.6244717358814613,1,1,0.3522138890491458,exploratory
Domestic flights,Travel and leisure,6,1,0.16666666666666666,0.03005258587173032,0.563509436563646,1,1,0.31699250014423125,exploratory
Perfume miniatures,Beauty and personal care,6,1,0.16666666666666666,0.03005258587173032,0.563509436563646,1,1,0.31699250014423125,exploratory
Payment gateways,Payments,16,2,0.125,0.034976749337057134,0.3602333143674828,2,2,0.3,directional
Tea subscriptions,Food and beverage,16,2,0.125,0.034976749337057134,0.3602333143674828,2,2,0.3,directional
Body mists,Beauty and personal care,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,1,1,0.2881750001311193,exploratory
Business hotels,Travel and leisure,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,1,1,0.2881750001311193,exploratory
Ethnic occasionwear,Fashion and accessories,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,1,1,0.2881750001311193,exploratory
Weekend resorts,Travel and leisure,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,1,1,0.2881750001311193,exploratory
Card terminals,Payments,8,1,0.125,0.02241690886329617,0.4708948057698615,1,1,0.2641604167868593,directional
Sensitive-skin fragrance,Beauty and personal care,8,1,0.125,0.02241690886329617,0.4708948057698615,1,1,0.2641604167868593,directional
Wi-Fi routers,Electronics,13,1,0.07692307692307693,0.013710066379696295,0.3331453392824736,1,1,0.18646617655543013,directional
Air conditioners,Home improvement,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Car accessories,Automotive,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Commercial refrigeration,Industrial supplies,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
