advertiser,observed_advertiser_labels,placements,creatives,panel_placements,first_seen,last_seen,categories
TwixAir LLC,TwixAir LLC,25,14,21,2026-09-21T10:13:48.604Z,2026-09-23T01:56:54.522Z,"Travel and leisure,Corporate travel,Honeymoon packages"
Trip.com/flights,Trip.com/flights,17,5,17,2026-09-22T23:15:54.873Z,2026-09-23T02:32:00.333Z,"Corporate travel,Honeymoon packages"
DRIVEU MOBILITY SOLUTIONS PRIVATE LIMITED,DRIVEU MOBILITY SOLUTIONS PRIVATE LIMITED,13,6,13,2026-09-22T22:03:28.123Z,2026-09-23T02:33:26.851Z,"Vacation rentals,Intercity buses,Corporate travel,Fleet tracking"
Homerun Retail Private Limited,Homerun Retail Private Limited,12,7,9,2026-09-11T22:11:59.074Z,2026-09-23T02:23:41.908Z,"Commercial discovery,Electronics,Trade delivery,Travel luggage,Vacation rentals,Corporate travel,Paint services,Bathroom fittings"
Zoho Corporation,Zoho Corporation,11,4,10,2026-09-11T21:27:39.421Z,2026-09-23T00:42:04.176Z,"Help desk software,Corporate travel"
MakeMyTrip,"MakeMyTrip Hotels,MMT DF,MMT IF",10,6,10,2026-09-22T20:15:50.901Z,2026-09-23T08:44:05.211Z,"Domestic flights,Vacation rentals,Corporate travel,Honeymoon packages"
trivago,trivago,10,8,5,2026-09-20T18:32:25.529Z,2026-09-23T08:13:11.472Z,"Travel and leisure,Vacation rentals"
HSBC - Credit Cards,HSBC - Credit Cards,9,4,9,2026-09-22T21:41:50.076Z,2026-09-23T02:06:41.144Z,"Vacation rentals,Corporate travel"
Agoda Company Pte. Ltd.,Agoda Company Pte. Ltd.,8,7,6,2026-09-21T06:24:21.524Z,2026-09-23T00:06:07.565Z,"Commercial discovery,Travel and leisure,Vacation rentals,Weekend resorts"
abhibus,abhibus,7,6,2,2026-09-12T05:50:13.798Z,2026-09-22T11:46:29.995Z,"Commercial discovery,Travel and leisure,Logistics,Intercity buses"
The Man Company,The Man Company,7,7,2,2026-09-19T11:52:46.933Z,2026-09-23T01:23:46.929Z,"Beauty and personal care,Rose perfume"
Birla Opus,Birla Opus,6,1,6,2026-09-23T01:22:39.763Z,2026-09-23T03:52:14.078Z,Paint services
Nestle Professional,Nestle Professional,6,2,6,2026-09-23T02:23:23.868Z,2026-09-23T02:56:17.872Z,"Card terminals,Office leasing,Coworking"
Wikka Potions for Aromatherapy,Wikka Potions for Aromatherapy,6,3,4,2026-09-20T21:14:24.165Z,2026-09-23T03:35:24.810Z,"Beauty and personal care,Body mists,Citrus perfume,Fragrance layering"
Duke & D’Or,Duke & D’Or,5,5,2,2026-09-11T21:44:41.340Z,2026-09-23T04:30:15.723Z,"Beauty and personal care,Fragrances,Fragrance layering,Citrus perfume"
Nexxbase Marketing Pvt. Ltd,Nexxbase Marketing Pvt. Ltd,5,5,3,2026-09-19T10:57:31.871Z,2026-09-23T02:51:41.619Z,"Travel and leisure,Business productivity,Business hotels,Intercity buses,Fleet tracking"
Insurte,Insurte,4,4,1,2026-09-20T11:24:17.090Z,2026-09-23T01:58:43.812Z,"Travel and leisure,Corporate travel"
ixigo,ixigo,4,4,0,2026-09-11T20:37:58.733Z,2026-09-22T02:47:14.902Z,"Travel and leisure,Flight booking"
UJ PALLAZZIO - Business Class Luxury Hotel,UJ PALLAZZIO - Business Class Luxury Hotel,4,2,4,2026-09-22T22:35:21.436Z,2026-09-22T23:38:43.630Z,"Intercity buses,Corporate travel"
Guest Reservations,Guest Reservations,3,3,0,2026-09-14T10:04:42.211Z,2026-09-21T04:07:56.700Z,Travel and leisure
Leela Diamonds,Leela Diamonds,3,3,2,2026-09-22T09:31:40.058Z,2026-09-23T02:14:59.436Z,"Commercial discovery,Honeymoon packages,Luxury perfume gifts"
OfficeKit HR,OfficeKit HR,3,2,2,2026-09-11T21:26:05.564Z,2026-09-22T23:04:42.576Z,"HR management,Corporate travel"
Orthotic Shop Inc,Orthotic Shop Inc,3,3,0,2026-09-11T20:37:59.783Z,2026-09-15T07:48:36.482Z,"Sports and fitness,Support footwear"
Yves Saint Laurent,Yves Saint Laurent,3,2,2,2026-09-20T22:17:57.122Z,2026-09-23T02:13:28.705Z,"Beauty and personal care,Rose perfume,Luxury perfume gifts"
Atlassian,Atlassian,2,2,2,2026-09-22T23:27:23.985Z,2026-09-22T23:45:02.476Z,Corporate travel
Call.com Telecom Limited,Call.com Telecom Limited,2,2,2,2026-09-22T23:07:56.890Z,2026-09-22T23:09:30.783Z,Corporate travel
CallHippo,CallHippo,2,2,0,2026-09-11T20:31:34.672Z,2026-09-11T20:42:32.135Z,Business telephony
G8TRIP,G8TRIP,2,2,0,2026-09-21T00:56:54.359Z,2026-09-21T02:00:33.840Z,Travel and leisure
